변환,원자료,원자료
"2016/01","7,301,544,849","95,483,140,006"
"2016/02","6,189,329,878","82,859,217,791"
"2016/03","7,747,195,885","97,482,610,318"
"2016/04","7,973,516,371","94,093,322,393"
"2016/05","9,650,547,747","100,721,933,795"
"2016/06","9,815,343,034","109,188,478,115"
"2016/07","8,068,033,728","88,673,533,797"
"2016/08","7,805,243,200","96,233,319,918"
"2016/09","8,851,698,777","86,379,070,708"
"2016/10","6,637,063,397","89,664,356,261"
"2016/11","6,610,609,333","98,079,114,813"
"2016/12","6,035,914,893","73,810,634,354"
"2017/01","8,424,323,255","82,234,229,121"
"2017/02","7,128,934,172","89,681,628,177"
"2017/03","8,869,997,309","110,563,641,242"
"2017/04","7,729,441,990","91,975,121,242"
"2017/05","7,028,358,028","117,968,317,489"
"2017/06","7,483,888,294","128,790,315,588"
"2017/07","6,225,326,968","111,511,269,508"
"2017/08","5,723,885,962","108,662,800,799"
"2017/09","5,842,712,235","110,700,218,231"
"2017/10","5,051,619,002","99,238,619,477"
"2017/11","7,474,555,595","137,935,150,525"
"2017/12","5,748,026,490","104,898,465,503"
"2018/01","8,253,530,594","157,136,686,018"
"2018/02","7,281,216,250","123,961,468,886"
"2018/03","8,078,904,661","144,557,236,057"
"2018/04","10,439,849,786","164,052,568,097"
"2018/05","12,820,544,339","181,065,264,275"
"2018/06","9,450,856,204","143,377,974,829"
"2018/07","7,509,557,921","121,236,920,671"
"2018/08","6,204,573,096","114,980,946,076"
"2018/09","5,433,226,207","103,179,959,818"
"2018/10","7,022,096,257","128,133,220,325"
"2018/11","6,978,958,763","116,439,444,410"
"2018/12","7,631,879,180","99,742,194,373"
"2019/01","9,455,197,243","123,269,550,926"
"2019/02","6,882,554,315","95,521,375,674"
"2019/03","6,458,055,507","98,439,945,182"
"2019/04","9,689,748,201","118,322,428,676"
"2019/05","11,242,891,618","113,039,830,448"
"2019/06","11,256,687,016","87,408,487,947"
"2019/07","11,908,954,060","101,867,676,835"
"2019/08","10,472,131,195","97,918,870,808"
"2019/09","8,620,782,748","85,892,320,227"
"2019/10","8,884,391,876","92,843,022,831"
"2019/11","10,737,647,300","111,659,054,443"
"2019/12","10,188,752,704","101,309,950,343"
"2020/01","13,096,066,333","128,693,460,715"
"2020/02","13,959,766,513","151,657,715,900"
"2020/03","17,091,025,314","222,127,870,190"
"2020/04","21,045,120,912","216,059,109,849"
"2020/05","16,206,496,902","189,189,354,133"
"2020/06","19,863,704,134","287,641,978,233"
"2020/07","18,866,786,790","299,769,080,813"
"2020/08","17,643,123,574","323,948,886,479"
"2020/09","19,606,896,975","298,108,591,925"
"2020/10","15,705,576,987","206,093,511,871"
"2020/11","24,377,964,949","320,234,746,626"
"2020/12","24,561,049,328","382,179,110,336"
"2021/01","26,093,976,278","529,556,443,855"
"2021/02","30,029,597,466","343,717,593,913"
"2021/03","27,901,981,044","332,939,741,955"
"2021/04","31,066,511,618","346,210,093,031"
"2021/05","18,790,315,271","303,551,521,072"
"2021/06","35,354,542,874","372,849,547,291"
"2021/07","22,117,057,112","303,914,648,353"
"2021/08","13,800,929,905","325,958,243,309"
"2021/09","14,269,522,234","267,165,925,096"
"2021/10","13,911,734,997","223,322,464,627"
"2021/11","13,789,073,481","257,791,288,034"
"2021/12","10,665,615,343","218,230,075,903"
"2022/01","10,925,620,515","225,654,507,004"
"2022/02","10,117,938,499","197,103,451,689"
"2022/03","14,407,387,495","232,672,615,187"
"2022/04","22,025,887,930","228,200,608,249"
"2022/05","16,868,003,801","200,736,287,525"
"2022/06","12,014,671,402","178,183,604,486"
"2022/07","7,955,652,326","152,171,652,837"
"2022/08","9,767,925,852","171,364,869,529"
"2022/09","9,375,488,477","153,912,993,028"
"2022/10","11,774,296,522","144,142,019,050"
"2022/11","12,748,764,620","192,361,101,640"
"2022/12","8,436,756,930","139,562,119,560"
"2023/01","9,416,084,339","139,364,232,100"
