변환,원자료
"2018/01","8,253,530,594"
"2018/02","7,281,216,250"
"2018/03","8,078,904,661"
"2018/04","10,439,849,786"
"2018/05","12,820,544,339"
"2018/06","9,450,856,204"
"2018/07","7,509,557,921"
"2018/08","6,204,573,096"
"2018/09","5,433,226,207"
"2018/10","7,022,096,257"
"2018/11","6,978,958,763"
"2018/12","7,631,879,180"
"2019/01","9,455,197,243"
"2019/02","6,882,554,315"
"2019/03","6,458,055,507"
"2019/04","9,689,748,201"
"2019/05","11,242,891,618"
"2019/06","11,256,687,016"
"2019/07","11,908,954,060"
"2019/08","10,472,131,195"
"2019/09","8,620,782,748"
"2019/10","8,884,391,876"
"2019/11","10,737,647,300"
"2019/12","10,188,752,704"
"2020/01","13,096,066,333"
"2020/02","13,959,766,513"
"2020/03","17,091,025,314"
"2020/04","21,045,120,912"
"2020/05","16,206,496,902"
"2020/06","19,863,704,134"
"2020/07","18,866,786,790"
"2020/08","17,643,123,574"
"2020/09","19,606,896,975"
"2020/10","15,705,576,987"
"2020/11","24,377,964,949"
"2020/12","24,561,049,328"
"2021/01","26,093,976,278"
"2021/02","30,029,597,466"
"2021/03","27,901,981,044"
"2021/04","31,066,511,618"
"2021/05","18,790,315,271"
"2021/06","35,354,542,874"
"2021/07","22,117,057,112"
"2021/08","13,800,929,905"
"2021/09","14,269,522,234"
"2021/10","13,911,734,997"
"2021/11","13,789,073,481"
"2021/12","10,665,615,343"
"2022/01","10,925,620,515"
"2022/02","10,117,938,499"
"2022/03","14,407,387,495"
"2022/04","22,025,887,930"
"2022/05","16,868,003,801"
"2022/06","12,014,671,402"
"2022/07","7,955,652,326"
"2022/08","9,767,925,852"
"2022/09","9,375,488,477"
"2022/10","11,774,296,522"
"2022/11","12,748,764,620"
"2022/12","8,436,756,930"
"2023/01","9,416,084,339"
