변환,원자료,원자료
"2018/01","2.190","2.626"
"2018/02","2.277","2.770"
"2018/03","2.271","2.708"
"2018/04","2.192","2.655"
"2018/05","2.250","2.757"
"2018/06","2.175","2.656"
"2018/07","2.097","2.549"
"2018/08","2.019","2.458"
"2018/09","1.953","2.315"
"2018/10","2.010","2.338"
"2018/11","1.940","2.209"
"2018/12","1.825","1.992"
"2019/01","1.807","1.991"
"2019/02","1.802","1.988"
"2019/03","1.789","1.953"
"2019/04","1.736","1.889"
"2019/05","1.679","1.828"
"2019/06","1.496","1.618"
"2019/07","1.382","1.506"
"2019/08","1.164","1.254"
"2019/09","1.287","1.420"
"2019/10","1.357","1.577"
"2019/11","1.492","1.750"
"2019/12","1.390","1.653"
"2020/01","1.373","1.656"
"2020/02","1.253","1.540"
"2020/03","1.091","1.485"
"2020/04","1.024","1.504"
"2020/05","0.878","1.394"
"2020/06","0.850","1.392"
"2020/07","0.826","1.360"
"2020/08","0.829","1.373"
"2020/09","0.908","1.500"
"2020/10","0.910","1.507"
"2020/11","0.965","1.610"
"2020/12","0.970","1.675"
"2021/01","0.975","1.731"
"2021/02","0.995","1.845"
"2021/03","1.133","2.040"
"2021/04","1.138","2.041"
"2021/05","1.134","2.131"
"2021/06","1.302","2.103"
"2021/07","1.419","1.976"
"2021/08","1.411","1.905"
"2021/09","1.515","2.061"
"2021/10","1.842","2.399"
"2021/11","1.953","2.355"
"2021/12","1.800","2.187"
"2022/01","2.060","2.492"
"2022/02","2.285","2.690"
"2022/03","2.369","2.784"
"2022/04","2.941","3.219"
"2022/05","3.019","3.295"
"2022/06","3.477","3.640"
"2022/07","3.238","3.300"
"2022/08","3.247","3.322"
"2022/09","3.903","3.897"
"2022/10","4.235","4.267"
"2022/11","3.895","3.915"
"2022/12","3.630","3.541"
"2023/01","3.460","3.411"
