변환,원자료
"2018/01/02","1,061.20"
"2018/01/03","1,064.50"
"2018/01/04","1,062.20"
"2018/01/05","1,062.70"
"2018/01/08","1,066.00"
"2018/01/09","1,067.10"
"2018/01/10","1,071.90"
"2018/01/11","1,072.00"
"2018/01/12","1,064.80"
"2018/01/15","1,062.70"
"2018/01/16","1,062.70"
"2018/01/17","1,069.30"
"2018/01/18","1,070.70"
"2018/01/19","1,065.90"
"2018/01/22","1,070.10"
"2018/01/23","1,070.20"
"2018/01/24","1,070.20"
"2018/01/25","1,058.60"
"2018/01/26","1,063.90"
"2018/01/29","1,065.60"
"2018/01/30","1,073.60"
"2018/01/31","1,067.90"
"2018/02/01","1,071.90"
"2018/02/02","1,079.70"
"2018/02/05","1,088.50"
"2018/02/06","1,091.50"
"2018/02/07","1,086.60"
"2018/02/08","1,087.90"
"2018/02/09","1,092.10"
"2018/02/12","1,084.60"
"2018/02/13","1,084.50"
"2018/02/14","1,077.20"
"2018/02/19","1,067.60"
"2018/02/20","1,073.50"
"2018/02/21","1,076.20"
"2018/02/22","1,084.30"
"2018/02/23","1,079.00"
"2018/02/26","1,073.40"
"2018/02/27","1,071.30"
"2018/02/28","1,082.80"
"2018/03/02","1,080.30"
"2018/03/05","1,082.00"
"2018/03/06","1,076.10"
"2018/03/07","1,069.10"
"2018/03/08","1,070.20"
"2018/03/09","1,069.80"
"2018/03/12","1,065.20"
"2018/03/13","1,067.50"
"2018/03/14","1,064.60"
"2018/03/15","1,065.40"
"2018/03/16","1,066.20"
"2018/03/19","1,071.60"
"2018/03/20","1,068.60"
"2018/03/21","1,072.30"
"2018/03/22","1,072.70"
"2018/03/23","1,082.20"
"2018/03/26","1,081.10"
"2018/03/27","1,070.30"
"2018/03/28","1,070.80"
"2018/03/29","1,065.90"
"2018/03/30","1,063.50"
"2018/04/02","1,056.60"
"2018/04/03","1,054.20"
"2018/04/04","1,059.80"
"2018/04/05","1,059.70"
"2018/04/06","1,069.60"
"2018/04/09","1,067.10"
"2018/04/10","1,066.40"
"2018/04/11","1,066.30"
"2018/04/12","1,069.50"
"2018/04/13","1,069.50"
"2018/04/16","1,074.00"
"2018/04/17","1,067.00"
"2018/04/18","1,068.70"
"2018/04/19","1,061.50"
"2018/04/20","1,067.30"
"2018/04/23","1,069.00"
"2018/04/24","1,076.80"
"2018/04/25","1,080.60"
