CNTER_CTPRVN_CD,CNTER_CTPRVN_NM,CNTER_SIGNGU_CD,CNTER_SIGNGU_NM,MESURE_YEAR,MESURE_NCNT,MBER_CO,YUTH_MBER_CO,YNGBGS_MBER_CO,ADULT_MBER_CO,SNCTZ_MBER_CO,MNGER_INPT_CAS_CO,NBDY_INPT_CAS_CO,GNRL_MESURE_CO,BSTRP_MESURE_CO,MALE_MBER_CO,FEMALE_MBER_CO,GOLDPRZ_CO,SLVRPRZ_CO,BRNZPRZ_CO,PRTCPTPRZ_CO,N10S_BELO_MESURE_AGE_CO,N10S_MESURE_AGE_CO,N20S_MESURE_AGE_CO,N30S_MESURE_AGE_CO,N40S_MESURE_AGE_CO,N50S_MESURE_AGE_CO,N60S_MESURE_AGE_CO,N70S_BELO_MESURE_AGE_CO
11,서울,11740,강동구,2021,50,46,0,0,20,30,50,0,50,0,20,30,1,10,18,21,0,0,4,1,1,3,19,22
11,서울,11350,노원구,2018,6174,5620,0,1722,2746,1706,4612,1562,2268,3906,2115,4059,183,759,1320,3912,0,1815,864,356,433,546,935,1225
11,서울,11710,송파구,2021,7644,6652,305,2412,4274,653,5062,1,3219,4425,5097,2547,546,1303,1670,4125,0,3074,1901,888,440,322,644,375
11,서울,11650,서초구,2020,584,546,0,17,519,48,442,142,304,280,438,146,25,79,156,324,0,120,353,14,5,22,41,29
11,서울,11305,강북구,2021,1993,1456,678,178,924,213,859,0,1147,846,1203,785,123,315,380,1175,0,968,384,70,110,80,281,95
11,서울,11140,중구,2021,1223,1144,0,291,687,245,486,0,808,415,939,284,74,190,283,676,0,398,272,74,32,81,233,133
11,서울,11410,서대문구,2020,187,170,0,11,161,15,0,0,187,0,123,64,11,23,45,108,0,33,80,22,12,13,16,11
11,서울,11650,서초구,2014,5771,94,0,89,4445,1237,2031,0,3777,1994,2225,3546,310,717,1264,3480,0,777,1986,617,371,477,782,761
11,서울,11440,마포구,2020,513,490,0,16,353,144,513,0,489,24,375,138,54,129,127,203,0,61,117,22,12,66,151,84
11,서울,11710,송파구,2016,11079,7744,0,1244,8038,1797,8670,2409,2834,8245,6119,4960,343,1190,2197,7349,0,1541,2528,1249,1283,1688,1806,984
11,서울,11650,서초구,2013,4942,72,0,0,3377,1565,1831,0,4942,0,1444,3498,163,523,1018,3238,0,401,906,553,401,672,1136,873
