업종,상호,시설주소(도로명),시설전화번호
수영장업,잠실실내수영장,"서울특별시 송파구 올림픽로 25 (잠실동, 종합운동장)",2240-8751(8780~1)
수영장업,롯데호텔 실내수영장,"서울특별시 송파구 올림픽로 240, 5층 (잠실동, 롯데호텔)",419-7000
수영장업,한강공원 잠실수영장,"서울특별시 송파구 한가람로 65 (잠실동, 한강사업본부 잠실안내센터)",
수영장업,아쿠아키즈,"서울특별시 송파구 삼전로 지하 95 (잠실동, 태성빌딩)",417-7845
수영장업,에이치투오 어린이수영장,서울특별시 송파구 오금로 233 (방이동),470-1415
수영장업,키즈마린 워터파크,서울특별시 송파구 삼전로 81 (잠실동),
수영장업,(주)스위스키즈베어,서울특별시 송파구 삼학사로 99 (삼전동),24177555
수영장업,더블유엘지 문정,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",02-407-1888
수영장업,키즈웨일즈,서울특별시 송파구 동남로 207 (가락동),02-3012-0707
수영장업,엘에스(LS),"서울특별시 송파구 토성로 78 (풍납동, 정민빌딩)",
수영장업,킨더스윔,"서울특별시 송파구 양재대로72길 17 (오금동, 현대백조아파트)",02-403-6465
수영장업,비바스포츠센타,"서울특별시 송파구 오금로15길 5-12 (방이동, 정환빌딩)",
수영장업,블루라군,"서울특별시 송파구 동남로 189, 쌍용프라자 지하2층 (가락동)",24821001
체육도장업,용인대 태권도장,"서울특별시 송파구 한가람로16길 7, 205,206호 (풍납동)",
체육도장업,통일태권도장,서울특별시 송파구 올림픽로4길 40 (잠실동),423-1920
체육도장업,우일태권도장,서울특별시 송파구 토성로 38-4 (풍납동),475-5200
체육도장업,태비태권도,"서울특별시 송파구 양재대로 1222 (방이동, 올림픽프라자)",404-0600
체육도장업,올림픽검도교실(올림픽제1체육관스포츠교실),서울특별시 송파구 올림픽로 424 (방이동),410-1626
체육도장업,송무검도관,서울특별시 송파구 송파대로43길 16 (석촌동),424-1979
체육도장업,MTA 청목 태권도,"서울특별시 송파구 동남로18길 43 (가락동, 혜성빌딩)",
체육도장업,가동태권도,서울특별시 송파구 중대로20길 49 (가락동),404-6525
체육도장업,승민태권도체육도장,서울특별시 송파구 백제고분로22길 8 (삼전동),413-1416
체육도장업,월드태권도,"서울특별시 송파구 올림픽로35길 112 (신천동, 장미아파트 비상가)",414-2098
체육도장업,태권도상무체육관,"서울특별시 송파구 가락로11길 11, 2층 (석촌동)",413-7830
체육도장업,한국체대 탑 태권도장,서울특별시 송파구 올림픽로12길 54 (잠실동),
체육도장업,우일,서울특별시 송파구 토성로 38-6 (풍납동),475-9001
체육도장업,현무태권도체육관,"서울특별시 송파구 마천로57길 8, 3층 (마천동)",
체육도장업,단무태권도장,서울특별시 송파구 삼학사로12길 14 (석촌동),417-8512
체육도장업,원도태권도,서울특별시 송파구 풍성로 65 (풍납동),476-4141
체육도장업,쌍용태권도장,서울특별시 송파구 동남로 189 (가락동),409-0600
체육도장업,비호체육관,서울특별시 송파구 성내천로 305 (마천동),449-4452
체육도장업,왕호태권도장,"서울특별시 송파구 토성로 65 (풍납동, 태양상가)",
체육도장업,태권도대명체육관,서울특별시 송파구 잠실로 15 (잠실동),420-1596
체육도장업,상아태권도,"서울특별시 송파구 오금로 407, 208호 (오금동)",
체육도장업,용인대 방이태권도,"서울특별시 송파구 백제고분로50길 35 (방이동, 정원빌딩)",419-4189
체육도장업,양문체육관,서울특별시 송파구 새말로 142 (문정동),408-9236
체육도장업,잠실유도회관,서울특별시 송파구 올림픽로12길 54 (잠실동),424-0715
체육도장업,홍익체육관,"서울특별시 송파구 성내천로23길 22, 2층 (마천동)",449-1566
체육도장업,용사경희체육관,서울특별시 송파구 토성로 26 (풍납동),470-6740
체육도장업,STS한국체대태권도,서울특별시 송파구 중대로 24 (문정동),
체육도장업,서울태권도체육관,"서울특별시 송파구 송파대로32길 8, 정문 상가동 2층 (가락동, 가락우성아파트)",400-2008
체육도장업,대한태권도장,"서울특별시 송파구 백제고분로50길 43, 3층 303호 (방이동)",
체육도장업,태권도사관학교효체육관,서울특별시 송파구 성내천로 223 (마천동),400-5434
체육도장업,거원태권도장,"서울특별시 송파구 양산로4길 13, 5층 (거여동)",404-1888
체육도장업,태극무술원,서울특별시 송파구 올림픽로12길 25 (잠실동),
체육도장업,포올 태권도 운동발달 센터,"서울특별시 송파구 양재대로72길 17 (오금동, 현대백조아파트)",448-7983
체육도장업,문정태권도체육관,"서울특별시 송파구 송이로34길 61, 2층 (문정동)",
체육도장업,검도풍납본관,서울특별시 송파구 토성로15길 3-3 (풍납동),479-2844
체육도장업,아이캔태권도장,"서울특별시 송파구 송이로14길 3, 2층 (가락동)",
체육도장업,위너스 태권아카데미,"서울특별시 송파구 문정로 83 (문정동, 문정래미안아파트)",
체육도장업,경희체육관,서울특별시 송파구 백제고분로42길 16 (송파동),
체육도장업,캡틴 태권도,서울특별시 송파구 거마로9길 19 (거여동),400-5336
체육도장업,아이사랑체육관,서울특별시 송파구 동남로14길 15 (가락동),401-5338
체육도장업,삼전경희태권도,서울특별시 송파구 백제고분로28길 20 (삼전동),
