변환,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료,원자료
"2016/01","91","89","92","91","87","92","89","92","85","80","84","87","93","93","97","91","88"
"2016/02","90","87","92","91","87","87","88","93","81","78","85","84","91","94","97","90","89"
"2016/03","91","93","95","90","88","91","88","94","83","79","86","86","91","97","98","92","89"
"2016/04","91","88","91","92","90","91","89","94","85","77","86","87","91","97","98","92","89"
"2016/05","91","91","90","92","89","90","92","92","87","79","87","87","89","98","96","91","90"
"2016/06","90","91","92","90","90","90","90","93","85","83","84","87","89","96","97","91","90"
"2016/07","91","91","92","89","92","91","91","92","86","83","85","88","88","95","99","91","91"
"2016/08","91","94","95","89","90","93","89","94","84","84","85","86","90","97","98","92","89"
"2016/09","91","93","92","90","91","92","89","93","87","82","83","87","91","96","99","91","91"
"2016/10","92","91","93","92","92","93","92","95","86","81","89","89","90","96","99","93","91"
"2016/11","89","93","91","90","90","89","88","92","86","82","84","83","88","98","97","90","89"
"2016/12","88","92","91","88","88","87","87","91","82","82","82","84","89","93","95","88","89"
"2017/01","87","90","91","86","87","87","81","90","81","77","74","87","88","91","94","88","86"
"2017/02","88","89","92","87","86","86","83","91","80","76","76","87","86","93","96","88","87"
"2017/03","89","90","95","88","86","88","84","93","81","80","78","84","89","95","97","89","90"
"2017/04","90","92","94","90","89","89","85","94","83","79","78","85","93","95","98","90","91"
"2017/05","91","95","93","93","92","92","87","94","88","85","84","86","91","94","101","92","91"
"2017/06","94","93","95","94","93","95","87","96","91","86","84","90","92","98","101","94","92"
"2017/07","95","95","98","96","94","93","90","98","91","84","86","95","91","97","104","96","94"
"2017/08","94","94","95","94","93","95","89","97","89","84","84","90","92","98","102","94","92"
"2017/09","94","94","97","94","93","94","88","98","89","82","86","90","91","99","103","94","93"
"2017/10","95","92","96","94","95","94","89","97","90","83","84","92","95","96","101","95","93"
"2017/11","96","93","96","96","95","97","92","99","90","86","87","93","97","96","103","97","93"
"2017/12","94","94","95","94","95","95","89","96","91","83","86","92","91","97","103","95","93"
"2018/01","94","95","96","96","93","91","87","97","91","80","83","89","94","98","103","93","95"
"2018/02","94","94","98","93","95","91","90","98","86","83","80","91","93","95","106","94","95"
"2018/03","95","95","99","96","95","93","87","100","86","85","84","92","93","100","104","96","95"
"2018/04","94","95","100","95","94","90","87","99","89","77","88","88","95","100","103","94","96"
"2018/05","95","97","98","96","95","93","89","99","90","80","88","90","95","99","103","96","94"
"2018/06","94","95","99","94","92","90","88","97","87","85","88","88","92","98","102","94","95"
"2018/07","92","90","93","94","90","87","88","95","85","77","86","86","90","94","100","91","91"
"2018/08","89","89","92","90","87","84","85","93","82","80","79","84","87","93","97","89","87"
"2018/09","90","90","96","92","89","85","86","93","88","81","83","86","88","93","98","91","90"
"2018/10","91","92","94","95","87","88","91","94","87","83","87","90","87","94","97","91","91"
"2018/11","90","90","93","93","85","89","88","92","88","80","84","87","89","94","95","90","90"
"2018/12","90","88","92","91","87","87","89","92","87","81","87","87","87","93","94","88","91"
"2019/01","90","90","93","93","87","87","87","93","88","81","86","87","88","94","96","89","92"
"2019/02","93","93","99","95","87","89","92","96","88","81","90","91","90","93","100","92","94"
"2019/03","91","93","97","91","87","90","88","95","85","79","87","89","88","94","97","90","94"
"2019/04","92","96","98","95","89","90","88","97","87","79","89","89","92","95","99","91","96"
"2019/05","91","92","95","93","89","87","90","94","88","78","85","88","89","95","99","91","92"
"2019/06","91","95","95","92","89","91","87","95","85","83","87","89","89","94","98","90","94"
"2019/07","90","94","95","93","88","89","87","95","85","81","87","87","89","92","98","90","93"
"2019/08","89","93","95","92","88","86","87","93","85","81","84","87","89","92","97","89","93"
"2019/09","92","92","97","94","89","86","91","94","88","84","86","87","90","94","99","91","94"
"2019/10","91","93","96","94","90","87","87","95","88","80","85","91","89","92","99","90","95"
"2019/11","92","93","95","95","90","89","88","95","88","84","87","90","90","93","98","91","93"
"2019/12","91","94","96","94","89","90","88","95","89","81","86","89","89","95","99","91","93"
"2020/01","93","95","97","96","91","90","88","97","89","81","86","90","91","96","100","92","95"
"2020/02","91","94","96","96","90","85","84","96","84","80","82","87","87","95","101","91","93"
"2020/03","82","84","90","85","79","79","77","89","66","70","74","79","79","87","92","82","85"
"2020/04","76","79","87","77","73","73","71","84","57","61","67","70","78","82","86","75","81"
"2020/05","79","80","87","81","74","76","77","86","60","69","71","75","78","81","88","78","82"
"2020/06","84","85","90","86","77","81","84","90","69","71","79","81","79","87","92","83","86"
"2020/07","85","86","90","87","82","82","84","90","75","68","80","82","82","87","94","84","88"
"2020/08","85","86","91","86","83","83","81","90","76","71","78","80","82","89","93","85","86"
"2020/09","81","81","87","83","78","77","77","86","68","64","75","73","79","86","90","80","82"
"2020/10","86","86","92","89","83","81","80","91","77","69","79","82","81","91","95","85","87"
"2020/11","89","88","93","92","88","84","83","93","82","70","80","85","86","93","98","88","90"
"2020/12","86","84","92","88","82","82","80","91","74","70","74","82","84","88","95","85","87"
"2021/01","86","85","93","88","82","81","79","91","75","66","72","82","85","90","95","85","87"
"2021/02","87","84","94","91","84","81","77","93","76","64","72","81","87","92","97","86","87"
"2021/03","89","88","96","92","87","84","78","94","81","67","78","83","88","95","98","89","89"
"2021/04","92","92","100","93","91","85","82","96","85","72","79","87","89","97","101","91","93"
"2021/05","93","92","99","95","91","90","84","97","87","73","82","89","90","97","101","93","92"
"2021/06","93","92","99","94","91","91","84","97","89","68","82","92","90","98","101","93","93"
"2021/07","92","89","96","93","90","90","84","95","85","73","83","87","88","96","99","91","91"
"2021/08","91","89","97","93","88","88","83","95","84","75","80","86","88","93","99","90","91"
"2021/09","91","89","96","92","89","86","85","94","83","74","82","87","87","93","98","90","91"
"2021/10","92","91","97","92","90","89","87","95","87","74","86","88","88","94","98","92","92"
"2021/11","92","92","97","94","92","89","83","95","88","74","85","87","90","96","99","92","92"
"2021/12","91","91","97","93","88","88","85","95","87","74","79","88","91","94","98","91","91"
"2022/01","91","90","95","95","91","85","84","95","85","70","77","86","91","95","99","91","91"
"2022/02","90","90","97","92","88","86","83","95","83","68","80","85","87","95","98","91","89"
"2022/03","91","90","97","92","89","86","82","95","83","70","80","84","89","97","98","90","92"
"2022/04","92","93","99","93","91","88","83","97","87","72","81","89","89","94","100","92","93"
"2022/05","89","91","94","91","89","87","81","93","85","71","78","85","87","92","97","89","91"
"2022/06","86","88","91","88","87","84","81","90","86","71","82","82","82","88","94","87","87"
"2022/07","80","84","86","81","81","77","77","83","78","69","77","81","79","81","87","81","82"
"2022/08","82","85","90","83","82","79","77","86","82","69","78","80","84","82","89","83","84"
"2022/09","85","83","91","84","84","82","81","87","84","75","81","81","84","85","90","84","86"
"2022/10","83","82","83","81","83","83","84","85","80","73","77","82","81","84","86","82","83"
"2022/11","83","83","87","80","80","83","82","84","82","73","81","83","80","83","86","83","83"
"2022/12","83","82","88","80","84","83","79","85","82","75","78","83","82","84","86","84","82"
"2023/01","82","82","88","78","81","81","82","85","77","74","79","82","79","81","87","83","81"
"2023/02","82","81","88","78","81","80","80","84","74","73","75","81","78","81","87","81","82"
