변환,원자료
"2016/01","100.4"
"2016/02","98.2"
"2016/03","100.4"
"2016/04","102.0"
"2016/05","99.6"
"2016/06","99.2"
"2016/07","101.4"
"2016/08","102.3"
"2016/09","102.2"
"2016/10","102.5"
"2016/11","95.9"
"2016/12","94.2"
"2017/01","93.3"
"2017/02","94.5"
"2017/03","97.0"
"2017/04","101.6"
"2017/05","108.8"
"2017/06","112.0"
"2017/07","112.1"
"2017/08","110.8"
"2017/09","108.5"
"2017/10","110.0"
"2017/11","113.2"
"2017/12","111.8"
"2018/01","111.0"
"2018/02","109.3"
"2018/03","109.2"
"2018/04","108.2"
"2018/05","109.1"
"2018/06","106.5"
"2018/07","101.9"
"2018/08","99.9"
"2018/09","100.8"
"2018/10","100.1"
"2018/11","96.6"
"2018/12","97.7"
"2019/01","98.4"
"2019/02","100.4"
"2019/03","100.7"
"2019/04","102.5"
"2019/05","98.8"
"2019/06","98.4"
"2019/07","96.9"
"2019/08","93.4"
"2019/09","97.9"
"2019/10","99.5"
"2019/11","101.8"
"2019/12","101.4"
"2020/01","105.0"
"2020/02","97.8"
"2020/03","79.9"
"2020/04","72.5"
"2020/05","79.1"
"2020/06","83.3"
"2020/07","85.6"
"2020/08","89.4"
"2020/09","80.9"
"2020/10","92.7"
"2020/11","99.0"
"2020/12","91.0"
"2021/01","95.3"
"2021/02","97.4"
"2021/03","100.5"
"2021/04","102.3"
"2021/05","105.3"
"2021/06","110.5"
"2021/07","103.4"
"2021/08","102.7"
"2021/09","103.9"
"2021/10","107.0"
"2021/11","107.9"
"2021/12","104.1"
"2022/01","104.7"
"2022/02","103.3"
"2022/03","103.5"
"2022/04","104.1"
"2022/05","102.9"
"2022/06","96.7"
"2022/07","86.3"
"2022/08","89.0"
"2022/09","91.6"
"2022/10","89.0"
"2022/11","86.7"
"2022/12","90.2"
"2023/01","90.7"
"2023/02","90.2"
