변환,원자료
"2016/01","1.50"
"2016/02","1.50"
"2016/03","1.50"
"2016/04","1.50"
"2016/05","1.50"
"2016/06","1.25"
"2016/07","1.25"
"2016/08","1.25"
"2016/09","1.25"
"2016/10","1.25"
"2016/11","1.25"
"2016/12","1.25"
"2017/01","1.25"
"2017/02","1.25"
"2017/03","1.25"
"2017/04","1.25"
"2017/05","1.25"
"2017/06","1.25"
"2017/07","1.25"
"2017/08","1.25"
"2017/09","1.25"
"2017/10","1.25"
"2017/11","1.50"
"2017/12","1.50"
"2018/01","1.50"
"2018/02","1.50"
"2018/03","1.50"
"2018/04","1.50"
"2018/05","1.50"
"2018/06","1.50"
"2018/07","1.50"
"2018/08","1.50"
"2018/09","1.50"
"2018/10","1.50"
"2018/11","1.75"
"2018/12","1.75"
"2019/01","1.75"
"2019/02","1.75"
"2019/03","1.75"
"2019/04","1.75"
"2019/05","1.75"
"2019/06","1.75"
"2019/07","1.50"
"2019/08","1.50"
"2019/09","1.50"
"2019/10","1.25"
"2019/11","1.25"
"2019/12","1.25"
"2020/01","1.25"
"2020/02","1.25"
"2020/03","0.75"
"2020/04","0.75"
"2020/05","0.50"
"2020/06","0.50"
"2020/07","0.50"
"2020/08","0.50"
"2020/09","0.50"
"2020/10","0.50"
"2020/11","0.50"
"2020/12","0.50"
"2021/01","0.50"
"2021/02","0.50"
"2021/03","0.50"
"2021/04","0.50"
"2021/05","0.50"
"2021/06","0.50"
"2021/07","0.50"
"2021/08","0.75"
"2021/09","0.75"
"2021/10","0.75"
"2021/11","1.00"
"2021/12","1.00"
"2022/01","1.25"
"2022/02","1.25"
"2022/03","1.25"
"2022/04","1.50"
"2022/05","1.75"
"2022/06","1.75"
"2022/07","2.25"
"2022/08","2.50"
"2022/09","2.50"
"2022/10","3.00"
"2022/11","3.25"
"2022/12","3.25"
